Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Have Prototype?,Initial Token Price,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url
,CDRT,United Kingdom,,No,,$1.1800,Ethereum,,$0.03,,United States,,,crederoom,https://icowatchlist.com/ico/crederoom
,PRIX,Unknown,,No,,$3.0000,Ethereum,,$0.55,-81.51%,United States,"$4,731,816",,privatix,https://icowatchlist.com/ico/privatix
,XCPO,India,,No,,$0.0065,Bitcoin Fork,,$0.02,,United States,,,copico,https://icowatchlist.com/ico/copico
,AMM,Myanmar,,No,,$1.0000,Ethereum,,$0.01,-99.22%,United States,"$10,500,000",,micromoney,https://icowatchlist.com/ico/micromoney
,CRN,Switzerland,,No,,$0.2300,Ethereum,,,,United States,,,careerxon,https://icowatchlist.com/ico/careerxon
,CASH,Unknown,,No,,$0.0000,Ethereum,,$0.01,,United States,,,cashpoker,https://icowatchlist.com/ico/cashpoker
,HAW,Lithuania,,No,,$0.0600,Ethereum,,,,United States,,,happiestatwork,https://icowatchlist.com/ico/happiestatwork
,SYN,United States,,No,,$0.0450,Ethereum,,,,United States,,,synapse,https://icowatchlist.com/ico/synapse
,WAND,Singapore,,No,,$0.0900,Ethereum,,$0.02,,United States,,,wandx,https://icowatchlist.com/ico/wandx
,BID,Australia,,No,,$1.0000,Ethereum,,,,United States,,,blockbid,https://icowatchlist.com/ico/blockbid
,CDL,Ireland,,No,,$0.3000,Ethereum,,,,United States,,,confideal,https://icowatchlist.com/ico/confideal
,SCF,Lithuania,,No,,$0.0570,Ethereum,,,,United States,,,safechildfuture,https://icowatchlist.com/ico/safechildfuture
,MBT,Russian Federation,,No,,$1.0000,Ethereum,,,,United States,,,multibot,https://icowatchlist.com/ico/multibot
,ZET,Germany,,No,,$1.1600,Ethereum,,$0.01,,United States,,,zeus,https://icowatchlist.com/ico/zeus
,BON,United Kingdom,,No,,$0.6000,Ethereum,,$0.00,,United States,,,bonpay,https://icowatchlist.com/ico/bonpay
,WAX,Canada,,No,,$0.5000,Ethereum,,$0.06,,United States,,,wax,https://icowatchlist.com/ico/wax
,STORM,Unknown,"$50,000,000",No,,$0.0100,Ethereum,,$0.00,,United States,,"7,500,000,000",storm,https://icowatchlist.com/ico/storm
,PKT,Russian Federation,,No,,$2.7000,Ethereum,,$0.03,-98.90%,United States,"$10,512,361",,playkeyio,https://icowatchlist.com/ico/playkeyio
,SENSE,United States,,No,,$0.1000,Ethereum,,,,United States,,,sense,https://icowatchlist.com/ico/sense
,VZT,United States,"$15,000,000",Yes,Yes,$0.5000,Ethereum,,,,United States,"$1,380,644","50,000,000",vezt-ico,https://icowatchlist.com/ico/vezt-ico
,COP,Lithuania,,No,,$0.0150,Ethereum,,$0.00,,United States,,,coppay,https://icowatchlist.com/ico/coppay
,CCO,Armenia,,No,,$0.3000,Ethereum,,$0.02,,United States,,,ccore,https://icowatchlist.com/ico/ccore
